graph,edge,MR_Cutoff,node1,node2,cor
blup.mr.graph.UN.2012.50,Bra026068|Bra101871,50,Bra026068,Bra101871,-0.5246814306969075
blup.mr.graph.UN.2012.50,Bra026943|Bra022924,50,Bra026943,Bra022924,-0.7147943534835015
blup.mr.graph.UN.2012.50,Bra026943|Bra023056,50,Bra026943,Bra023056,0.6537228619907325
blup.mr.graph.UN.2012.50,Bra026943|Bra023094,50,Bra026943,Bra023094,0.6524107029268266
blup.mr.graph.UN.2012.50,Bra026943|Bra029100,50,Bra026943,Bra029100,0.7776705667767914
blup.mr.graph.UN.2012.50,Bra026943|Bra029111,50,Bra026943,Bra029111,-0.8431522853647501
blup.mr.graph.UN.2012.50,Bra028216|Bra008635,50,Bra028216,Bra008635,0.8963976509280892
blup.mr.graph.UN.2012.50,Bra028216|Bra008711,50,Bra028216,Bra008711,-0.7422897475368814
blup.mr.graph.UN.2012.50,Bra028216|Bra008840,50,Bra028216,Bra008840,-0.6050772941439364
blup.mr.graph.UN.2012.50,Bra028216|Bra013968,50,Bra028216,Bra013968,0.8398411195991424
blup.mr.graph.UN.2012.50,Bra028216|Bra100024,50,Bra028216,Bra100024,-0.6768458105220994
blup.mr.graph.UN.2012.50,Bra028216|Bra102309,50,Bra028216,Bra102309,-0.8236741651737446
blup.mr.graph.UN.2012.50,Bra029099|Bra022867,50,Bra029099,Bra022867,0.6970887850780175
blup.mr.graph.UN.2012.50,Bra029099|Bra022924,50,Bra029099,Bra022924,-0.6130450801655121
blup.mr.graph.UN.2012.50,Bra029099|Bra023009,50,Bra029099,Bra023009,-0.5795450253289661
blup.mr.graph.UN.2012.50,Bra029099|Bra023094,50,Bra029099,Bra023094,0.6107625674799664
blup.mr.graph.UN.2012.50,Bra029099|Bra026943,50,Bra029099,Bra026943,0.8759078416185626
blup.mr.graph.UN.2012.50,Bra029099|Bra029100,50,Bra029099,Bra029100,0.8088988262989769
blup.mr.graph.UN.2012.50,Bra029099|Bra029111,50,Bra029099,Bra029111,-0.8508987268912844
blup.mr.graph.UN.2012.50,Bra029100|Bra022924,50,Bra029100,Bra022924,-0.6154726355205097
blup.mr.graph.UN.2012.50,Bra029111|Bra022867,50,Bra029111,Bra022867,-0.6827122529803591
blup.mr.graph.UN.2012.50,Bra029111|Bra022924,50,Bra029111,Bra022924,0.6224829411282147
blup.mr.graph.UN.2012.50,Bra029111|Bra023009,50,Bra029111,Bra023009,0.6187882273988594
blup.mr.graph.UN.2012.50,Bra029111|Bra023056,50,Bra029111,Bra023056,-0.6158233807477194
blup.mr.graph.UN.2012.50,Bra029111|Bra029100,50,Bra029111,Bra029100,-0.7155100877803969
blup.mr.graph.UN.2012.50,Bra029573|Bra025497,50,Bra029573,Bra025497,0.5840652762263457
blup.mr.graph.UN.2012.50,Bra039792|Bra038899,50,Bra039792,Bra038899,0.7233736675337178
blup.mr.graph.UN.2012.50,Bra100024|Bra008711,50,Bra100024,Bra008711,0.5959414019119144
blup.mr.graph.UN.2012.50,Bra100024|Bra008734,50,Bra100024,Bra008734,-0.6694938866670058
blup.mr.graph.UN.2012.50,Bra100024|Bra008840,50,Bra100024,Bra008840,0.6464371074609928
blup.mr.graph.UN.2012.50,Bra100024|Bra008859,50,Bra100024,Bra008859,-0.8009613783140359
blup.mr.graph.UN.2012.50,Bra102309|Bra008566,50,Bra102309,Bra008566,0.7330051995125182
blup.mr.graph.UN.2012.50,Bra102309|Bra008635,50,Bra102309,Bra008635,-0.8071539441076886
blup.mr.graph.UN.2012.50,Bra102309|Bra008711,50,Bra102309,Bra008711,0.6428770642085886
blup.mr.graph.UN.2012.50,Bra102309|Bra008734,50,Bra102309,Bra008734,-0.6216710033765799
blup.mr.graph.UN.2012.50,Bra102309|Bra100024,50,Bra102309,Bra100024,0.630608230555231
blup.mr.graph.UN.2012.50,UNd12|Bra002255,50,UNd12,Bra002255,0.5966100932256632
blup.mr.graph.UN.2012.50,UNd12|Bra002290,50,UNd12,Bra002290,0.6293125219240692
blup.mr.graph.UN.2012.50,UNd12|Bra002411,50,UNd12,Bra002411,0.6196343847384389
blup.mr.graph.UN.2012.50,UNd12|Bra005332,50,UNd12,Bra005332,-0.614845580040637
blup.mr.graph.UN.2012.50,UNd12|Bra008162,50,UNd12,Bra008162,-0.5779904344500313
blup.mr.graph.UN.2012.50,UNd12|Bra008635,50,UNd12,Bra008635,-0.5872077350053456
blup.mr.graph.UN.2012.50,UNd12|Bra008711,50,UNd12,Bra008711,0.5796515094551787
blup.mr.graph.UN.2012.50,UNd12|Bra008797,50,UNd12,Bra008797,0.6291915445486225
blup.mr.graph.UN.2012.50,UNd12|Bra008931,50,UNd12,Bra008931,0.6536603337898255
blup.mr.graph.UN.2012.50,UNd12|Bra013968,50,UNd12,Bra013968,-0.6157715795386806
blup.mr.graph.UN.2012.50,UNd12|Bra017468,50,UNd12,Bra017468,-0.5767121768738465
blup.mr.graph.UN.2012.50,UNd12|Bra100024,50,UNd12,Bra100024,0.5755712856431013
blup.mr.graph.UN.2012.50,UNd12|Bra102309,50,UNd12,Bra102309,0.603766821540296
blup.mr.graph.UN.2012.50,UNHmax12|Bra002411,50,UNHmax12,Bra002411,0.6201741949463163
blup.mr.graph.UN.2012.50,UNHmax12|Bra002619,50,UNHmax12,Bra002619,-0.6527232362476972
blup.mr.graph.UN.2012.50,UNHmax12|Bra012899,50,UNHmax12,Bra012899,-0.5089889787456976
blup.mr.graph.UN.2012.50,UNHmax12|Bra014655,50,UNHmax12,Bra014655,0.6132810292497279
blup.mr.graph.UN.2012.50,UNHmax12|Bra019796,50,UNHmax12,Bra019796,-0.6110703281777926
blup.mr.graph.UN.2012.50,UNHmax12|Bra021591,50,UNHmax12,Bra021591,-0.6320202183687654
blup.mr.graph.UN.2012.50,UNHmax12|Bra024437,50,UNHmax12,Bra024437,0.5826428459336471
blup.mr.graph.UN.2012.50,UNHmax12|Bra024934,50,UNHmax12,Bra024934,-0.6544239061809535
blup.mr.graph.UN.2012.50,UNHmax12|Bra025790,50,UNHmax12,Bra025790,-0.6401582002522962
blup.mr.graph.UN.2012.50,UNHmax12|Bra026068,50,UNHmax12,Bra026068,0.5275682630222525
blup.mr.graph.UN.2012.50,UNHmax12|Bra029573,50,UNHmax12,Bra029573,-0.5109866869069983
blup.mr.graph.UN.2012.50,UNHmax12|Bra039792,50,UNHmax12,Bra039792,-0.5913703677457525
blup.mr.graph.UN.2012.50,UNHmax12|Bra101871,50,UNHmax12,Bra101871,-0.5644334924961
blup.mr.graph.UN.2012.50,UNiD12|Bra002255,50,UNiD12,Bra002255,0.5885642486330421
blup.mr.graph.UN.2012.50,UNiD12|Bra008711,50,UNiD12,Bra008711,0.5589828685848025
blup.mr.graph.UN.2012.50,UNiD12|Bra008734,50,UNiD12,Bra008734,-0.5889920485363477
